DIRECTED	cites
NO_FEATURES
2856	paper:jantke97necessity	|	paper:6875
2693	paper:holtman98automatic	|	paper:300668
1049	paper:78173	|	paper:78173
516	paper:308936	|	paper:fuhr01digital
3828	paper:phan01new	|	paper:phan02extensible
3129	paper:labrou99agent	|	paper:devedzic01knowledge
52	paper:11510	|	paper:29551
3691	paper:oh00efficient	|	paper:tran00videograph
4140	paper:schapire98boosting	|	paper:453969
1010	paper:68306	|	paper:roy01toward
2538	paper:graef00construction	|	paper:500641
4061	paper:rousseau97socialpsychological	|	paper:418446
3447	paper:meng99database	|	paper:zhang99query
4119	paper:santos99dynamic	|	paper:nguyen00active
2532	paper:good99combining	|	paper:mooney00contentbased
3985	paper:rauterberg97gesture	|	paper:fjeld99designing
4442	paper:tripathi99mobile	|	paper:saif01communication
3454	paper:meng99estimating	|	paper:455651
1551	paper:bollacker98citeseer	|	paper:middleton02exploiting
4691	paper:zamir98web	|	paper:328087
858	paper:508147	|	paper:ben-ameur02multiitem
1898	paper:chakrabarti98automatic	|	paper:536016
1495	paper:bharat98improved	|	paper:srinivasan02web
4346	paper:stone98layered	|	paper:29551
363	paper:240151	|	paper:greenberg01phidgets
3184	paper:lawrence98context	|	paper:lam01overview
1835	paper:calvanese99unifying	|	paper:artale01temporal
2814	paper:jagadish99querying	|	paper:shasha02algorithmics
2989	paper:kinny96methodology	|	paper:giunchiglia01tropos
2688	paper:holmquist99supporting	|	paper:438351
1069	paper:83444	|	paper:bellardo00implementing
2735	paper:howe97savvysearch	|	paper:davison00topical
4139	paper:schapire98boosting	|	paper:453602
948	paper:62580	|	paper:ciaccia00imprecision
3422	paper:mcroy95repair	|	paper:ardissono96uso
3293	paper:liu98statistical	|	paper:376145
4377	paper:surmann01learning	|	paper:480233
2717	paper:horrocks98using	|	paper:calvanese99unifying
2009	paper:christina99detecting	|	paper:helmer01automated
303	paper:21655	|	paper:kushmerick02adaptive
66	paper:120432	|	paper:sadri99computational
156	paper:154973	|	paper:cabrera01proactive
1117	paper:8922	|	paper:509763
4244	paper:simula99selforganizing	|	paper:tomsich01optimizing
2493	paper:globig94casebased	|	paper:jantke97necessity
524	paper:31199	|	paper:84828
3258	paper:li98automatic	|	paper:42875
4413	paper:thompson99active	|	paper:knoblock00accurately
4713	paper:zelikovitz00improving	|	paper:nigam01using
4180	paper:schneider99distributed	|	paper:483769
1197	paper:aggarwal01intelligent	|	paper:pant02exploration
450	paper:282608	|	paper:wijsen99stringbased
1174	paper:96518	|	paper:233508
1114	paper:89078	|	paper:539922
3625	paper:neumann99experience	|	paper:pouzol01from
3186	paper:lawrence98context	|	paper:lawrence99searching
1556	paper:bolotov99clausal	|	paper:dixon00resolutionbased
1107	paper:87928	|	paper:lam01overview
2110	paper:cui99practical	|	paper:galhardas01improving
1992	paper:chien00version	|	paper:chien00version
4324	paper:starner98visual	|	paper:gellersen00adding
507	paper:301428	|	paper:zhang01supporting
3664	paper:noh99uncertain	|	paper:303963
1558	paper:bomze99maximum	|	paper:pelillo99continuousbased
3211	paper:lawrence98searching	|	paper:liu98statistical
598	paper:332050	|	paper:flake01towards
3010	paper:kitano97robocup	|	paper:asada00overview
2332	paper:faensen01hermes	|	paper:455694
3039	paper:knowles99pareto	|	paper:243743
3381	paper:martin00knowledge	|	paper:christophides00community
223	paper:194986	|	paper:liu00threedimensional
1590	paper:bradshaw97introduction	|	paper:helmer01automated
2760	paper:huget02agent	|	paper:huget02application
2618	paper:hatzilygeroudis00neurules	|	paper:prentzas01webbased
4496	paper:vilalta00quantification	|	paper:vilalta01rule
1375	paper:bartoli01three	|	paper:bartoli02nonlinear
1944	paper:chan98toward	|	paper:domingos99metacost
471	paper:28981	|	paper:388587
2667	paper:hirai99webbase	|	paper:shkapenyuk01design
1681	paper:brin98anatomy	|	paper:clarke01exploiting
3991	paper:renambot00cavestudy	|	paper:germans01virpi
180	paper:171304	|	paper:45542
1721	paper:brin98anatomy	|	paper:pal02web
2653	paper:hespanha99multipleagent	|	paper:hespanha99multipleagent
98	paper:13423	|	paper:282608
1730	paper:brin98anatomy	|	paper:yu99methodology
3640	paper:nigam99text	|	paper:400733
3043	paper:kobayashi00information	|	paper:pal02web
475	paper:292223	|	paper:vanschooten01structuring
4162	paper:schmidt00implicit	|	paper:beigl00mediacups
1150	paper:92649	|	paper:185650
3949	paper:rao95bdi	|	paper:marini00hemasl
1857	paper:cardie99guest	|	paper:marquez00machine
204	paper:1894	|	paper:kobayashi00information
2622	paper:hawking01measuring	|	paper:bailey01engineering
3171	paper:lawrence98context	|	paper:323867
2660	paper:hirai99webbase	|	paper:530815
3865	paper:plaisant99design	|	paper:472493
2969	paper:kendall97application	|	paper:kendall00java
2269	paper:dreilinger97experiences	|	paper:craswell00server
1486	paper:bharat98improved	|	paper:kosala00web
2236	paper:dipasquo98using	|	paper:ghani00data
2677	paper:hofmann99probabilistic	|	paper:popescul01probabilistic
3555	paper:munro99footprints	|	paper:537064
